Segment,Territory,Customer Date,Net ARR,Composite Fleet Size,Number of ELD Devices
ENT,Southeast,10/14/2019,4200,289,10
ENT,Northeast,10/19/2018,256212,1200,777
ENT,Southeast,12/11/2017,412260,11000,1437
ENT,Chicago East,10/6/2017,35184,94,113
ENT,West,4/23/2019,369480,650,708
ENT,Northeast,5/24/2018,30240,52,84
ENT,South Central,4/15/2019,38964,1000,199
ENT,North Central,5/13/2019,394140,650,790
ENT,North Central,7/26/2019,33300,1400,87
ENT,Southwest,8/29/2019,25800,43,43
ENT,North Central,8/17/2017,81000,150,202
ENT,North Central,3/26/2018,50484,150,172
ENT,Northwest,8/21/2020,0,501,21
ENT,Northeast,6/19/2020,26880,1000,84
ENT,South Central,4/4/2019,540684,1606,1050
ENT,Ontario,5/30/2020,169380,282,293
ENT,Southeast,11/27/2017,5040,55,13
ENT,Southeast,12/11/2017,14100,305,30
ENT,South Central,7/30/2020,83472,500,188
ENT,South Central,4/24/2019,15360,101,64
ENT,South Central,7/31/2020,8400,870,15
ENT,West,5/8/2018,20520,4000,52
ENT,Northeast,8/7/2018,3840,600,18
ENT,Southeast,10/17/2017,63516,90,223
ENT,Southeast,11/8/2017,2376,1,6
ENT,Southeast,11/3/2017,1200,1,6
ENT,Southeast,11/14/2017,41352,501,126
ENT,North Central,12/22/2017,4560,1865,19
ENT,Northwest,1/15/2018,4800,1,8
ENT,Southeast,7/19/2019,99360,600,210
ENT,Southeast,12/27/2018,10356,2,29
ENT,Southeast,3/19/2019,7128,5,20
ENT,Southeast,4/18/2019,2856,5,8
ENT,West,11/13/2019,79164,501,426
ENT,Southeast,1/16/2020,4200,5,7
ENT,Southeast,10/12/2017,135624,800,415
ENT,South Central,5/10/2019,372720,700,490
ENT,West,11/13/2017,264960,785,1384
ENT,South Central,11/9/2017,72480,495,152
ENT,North Central,12/30/2017,29580,1772,73
ENT,West,11/27/2017,18960,100,52
ENT,West,12/19/2017,6780,632,32
ENT,North Central,3/20/2017,15120,550,44
ENT,Southeast,5/23/2017,254064,620,563
ENT,South Central,9/1/2017,69288,205,158
ENT,South Central,8/9/2017,17148,100,40
ENT,Chicago East,1/13/2020,194688,140,355
ENT,North Central,2/19/2018,15120,501,37
ENT,Southeast,11/28/2017,0,400,63
ENT,North Central,11/27/2017,3840,1012,17
ENT,North Central,8/31/2020,2460,2685,7
ENT,North Central,9/3/2020,541512,900,993
ENT,South Central,9/16/2020,0,600,11
ENT,Southwest,2/26/2020,7728,30,22
ENT,Northeast,5/2/2018,329472,744,754
ENT,North Central,9/21/2017,10200,9,18
ENT,North Central,10/17/2017,25560,35,56
ENT,North Central,11/1/2017,5280,4,11
ENT,North Central,11/29/2017,15840,57,66
ENT,North Central,12/6/2017,5040,17,11
ENT,South Central,4/16/2018,5184,15,17
ENT,Chicago East,9/13/2018,24840,43,82
ENT,North Central,6/18/2018,7980,15,19
ENT,South Central,3/28/2019,178920,285,303
ENT,South Central,4/25/2019,170520,950,286
ENT,Southeast,11/28/2017,862704,3600,2595
ENT,South Central,3/19/2018,71964,65,229
ENT,North Central,1/4/2017,136488,300,254
ENT,West,3/8/2017,100560,750,278
ENT,Southwest,3/3/2017,14880,41,43
ENT,South Central,5/4/2017,34236,60,82
ENT,Northeast,9/22/2017,114240,501,287
ENT,Southwest,3/15/2017,10440,25,28
ENT,North Central,4/17/2017,16656,34,49
ENT,Northeast,5/2/2017,13440,51,61
ENT,Pittsburgh,11/27/2017,38340,45,64
ENT,Southeast,5/7/2020,9360,25,39
ENT,South Central,9/17/2020,233760,800,650
ENT,North Central,9/17/2020,322248,800,925
ENT,Southeast,1/18/2018,107340,700,307
ENT,Northeast,11/25/2016,402408,650,835
ENT,Southeast,5/30/2018,114000,550,308
ENT,West,7/26/2017,711324,1500,2187
ENT,Southeast,2/25/2019,125172,802,327
ENT,Los Angeles,8/29/2017,15252,1800,70
ENT,North Central,11/22/2017,18336,849,107
ENT,West,6/13/2018,3960,1066,11
ENT,North Central,8/2/2019,292320,1100,830
ENT,South Central,2/28/2019,8172,860,17
ENT,Northeast,7/31/2019,33720,501,80
ENT,Southeast,7/31/2019,22272,860,52
ENT,North Central,11/27/2017,52572,895,166
ENT,South Central,12/22/2016,777600,1270,1376
ENT,South Central,1/3/2018,9360,1300,39
ENT,Southeast,11/27/2017,100560,471,457
ENT,North Central,3/2/2020,1152,501,6
ENT,South Central,4/6/2020,18816,100,44
ENT,South Central,11/17/2020,0,501,10
MM,Southeast,12/21/2018,62400,125,129
MM,Southeast,6/20/2017,14700,78,97
MM,South Central,3/29/2019,38400,83,82
MM,North Central,9/30/2017,54768,200,188
MM,South Central,11/27/2017,32400,54,107
MM,North Central,6/28/2019,33600,60,71
MM,South Central,10/10/2017,31284,60,205
MM,Northeast,11/28/2017,22788,65,142
MM,Southeast,10/27/2017,50676,52,82
MM,South Central,11/27/2017,44388,89,79
MM,Northeast,11/30/2017,15600,17,33
